source_id,paper_title,final_status,extraction_readiness,local_relpath,current_folder,notebook_present,local_present,local_file_exists,expected_folder_group,folder_status,local_presence_status
6627c0f6-ee21-4eef-9651-e3312a7695dc,"Luz et al. - 2021 - High regenerative capacity is a general feature within colonial dendrophylliid corals (Anthozoa, Scl.pdf",exclude_scope,not_for_extraction,"literature/EXCLUDED_FINAL/Luz et al. - 2021 - High regenerative capacity is a general feature within colonial dendrophylliid corals (Anthozoa, Scl.pdf",EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
66c25dd3-3ef3-4d36-9930-e9b3e852913d,Madeira et al. - 2022 - Does Predation Exacerbate the Risk of Endosymbiont Loss in Heat Stressed Hermatypic Corals Molecula.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Madeira et al. - 2022 - Does Predation Exacerbate the Risk of Endosymbiont Loss in Heat Stressed Hermatypic Corals Molecula.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
9a245adb-106c-490c-947c-09299931b851,Maher et al. - 2019 - Multiple stressors interact primarily through antagonism to drive changes in the coral microbiome.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Maher et al. - 2019 - Multiple stressors interact primarily through antagonism to drive changes in the coral microbiome.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
,Mass et al. - 2016 - Temporal and spatial expression patterns of biomin.pdf,exclude_scope,not_for_extraction,literature/EXCLUDED_FINAL/Mass et al. - 2016 - Temporal and spatial expression patterns of biomin.pdf,EXCLUDED_FINAL,0,1,1,EXCLUDED_FINAL,ok,ok
6b96575e-9bf7-46f2-a12e-73b565f46629,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,include_primary,ready_extract,literature/META_ANALYSIS_POOL/Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
c84ce087-58f5-4e19-a373-34f57299f6d0,Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Meesters et al. - 1994 - Damage and regeneration links to growth in the reef-building coral Montastrea annularis.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
398d01aa-1e0e-4c46-9989-8490ca8748d5,Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Meesters et al. - 1996 - Partial Mortality in Three Species of Reef-Building Corals and the Relation with Colony Morphology.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
e957b976-8e47-418c-be44-723926e87225,"Meszaros and Bigger - 1999 - Qualitative and Quantitative Study of Wound Healing Processes in the Coelenterate,Plexaurella fusife.pdf",exclude_scope,not_for_extraction,"literature/EXCLUDED_FINAL/Meszaros and Bigger - 1999 - Qualitative and Quantitative Study of Wound Healing Processes in the Coelenterate,Plexaurella fusife.pdf",EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
f46ad039-b2d6-4a0a-860d-98cf61f2a7de,Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Miller and Hay - 1998 - Effects of fish predation and seaweed competition on the survival and growth of corals.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
d09112aa-142c-46bf-bddf-1e2fd6d45003,Moses and Hallock - 2015 - Coral Regeneration Assay.pdf,exclude_review,not_for_extraction,literature/EXCLUDED_FINAL/Moses and Hallock - 2015 - Coral Regeneration Assay.pdf,EXCLUDED_FINAL,1,1,1,EXCLUDED_FINAL,ok,ok
c9a7e412-6f2f-4baf-9cde-29e23e6aeeb0,Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,include_primary,ready_extract,literature/META_ANALYSIS_POOL/Barbara - Host and Symbiont Physiology During Wound Regeneration in Acropora pulchra Under.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
8c205a55-4093-46c5-a7c2-e356c8bf6a7c,Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Nagelkerken and Bak - 1998 - Differential regeneration of artificial lesions among sympatric morphs of the Caribbean corals Porit.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
b2eaa7a6-c475-4f8e-bec2-2a52585da7c3,Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Nagelkerken et al. - 1999 - Depth-related variation in regeneration of artificial lesions in the Caribbean corals Porites ast.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
9f560a14-a39a-4d71-8d68-9c14a4001c75,Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Nicolet et al. - 2018 - Predation scars may influence host susceptibility to pathogens evaluating the role of corallivores.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
d17e3c0b-32a1-4c10-94fa-7558d22f726e,Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Okubo - 2008 - Size-independent investment allocation to regeneration and growth of the branching coral Acropora mu.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
84a7b2a4-6982-4dce-a39a-2d4f07d0176b,Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,include_primary,needs_digitization,literature/META_ANALYSIS_POOL/Oren et al. - 1997 - Effect of lesion size and shape on regeneration of the Red Sea coral Favia favus.pdf,META_ANALYSIS_POOL,1,1,1,META_ANALYSIS_POOL,ok,ok
86b70912-c65a-4dfd-8cdc-211d14ecd270,Oren et al. - 1997 - Oriented intra-colonial transport of 14C labeled materials during coral regeneration.pdf,include_mechanism_only,not_for_extraction,literature/MECHANISMS_ONLY/Oren et al. - 1997 - Oriented intra-colonial transport of 14C labeled materials during coral regeneration.pdf,MECHANISMS_ONLY,1,1,1,MECHANISMS_ONLY,ok,ok
