source_id,title,type,url,normalized_title,in_screening_final,in_primary_covariates,in_all_source_covariates,in_all_response_source_index,in_rate_source_index,in_extraction_workplan,in_digitization_queue,in_any_source_table,dataset_table_count
4e3fb9f0-e78a-40f5-abc2-01412b9ab7fb,Chong-Seng_2011_Selective_feeding_by_coral_reef_fishes_on_coral_lesions_asso..._doi-10.1007-s00338-010-0707-1.pdf,pdf,,chongseng2011selectivefeedingbycoralreeffishesoncorallesionsassodoi101007s0033801007071pdf,1,0,1,0,0,0,0,1,6
8c750a8f-0fa1-4ba4-9835-9eb93984c035,Cleves_2018_CRISPRCas9mediatedgenomeeditingina.pdf,pdf,,cleves2018crisprcas9mediatedgenomeeditinginapdf,0,0,0,0,0,0,0,0,0
ce9b96cc-9a65-471a-9454-8ded193148c8,Cole_2009_Coralfeedingfishesslowprogressionof.pdf,pdf,,cole2009coralfeedingfishesslowprogressionofpdf,0,0,0,0,0,0,0,0,0
d86a557e-5735-4326-9f08-979e13c7ee6d,Comeau_2014_Effects_of_irradiance_on_the_response_of_the_coral_Acropora..._doi-10.1016-j.jembe.2013.12.013.pdf,pdf,,comeau2014effectsofirradianceontheresponseofthecoralacroporadoi101016jjembe201312013pdf,1,0,1,0,0,0,0,1,7
6a14f7f2-cf2e-482c-a165-39da37d6e537,Conti-Jerpe_2020_Trophicstrategyandbleachingresistanc.pdf,pdf,,contijerpe2020trophicstrategyandbleachingresistancpdf,0,0,0,0,0,0,0,0,0
d4f87f68-6209-4973-bf99-fac310af5656,Coral-Damsel-Wounding-Manuscript.pdf,pdf,,coraldamselwoundingmanuscriptpdf,1,1,1,1,1,1,1,1,33
deff576c-ed14-48e7-884a-51d6447654a4,Coral_Regeneration_Review_Annual_Review_Marine_Science_10_31_2025.pdf,pdf,,coralregenerationreviewannualreviewmarinescience10312025pdf,1,0,1,0,0,0,0,1,7
e52cb93b-464a-4983-94ea-aff0cf863664,Couch_2014_Spatialandtemporalpatternsofcoralh.pdf,pdf,,couch2014spatialandtemporalpatternsofcoralhpdf,0,0,0,0,0,0,0,0,0
ec19aed9-6875-473a-accb-914b065e6e10,Counsell_2019_Colony_size_and_depth_affect_wound_repair_in_a_branching_cor..._doi-10.1007-s00227-019-3601-6.pdf,pdf,,counsell2019colonysizeanddepthaffectwoundrepairinabranchingcordoi101007s0022701936016pdf,1,1,1,1,1,1,1,1,31
740435e0-2577-4691-baa4-77cc09e904e9,Cox_2014_Corallivory_The_Coral_s_Point_of_View.pdf,pdf,,cox2014corallivorythecoralspointofviewpdf,1,0,1,0,0,0,0,1,7
034d4e10-aee2-4964-9c77-cb6f4174bd3e,Croquer_2002_Environmental_factors_affecting_tissue_regeneration_of_the_r....pdf,pdf,,croquer2002environmentalfactorsaffectingtissueregenerationoftherpdf,1,1,1,1,1,1,1,1,31
69b21516-c093-461a-a55f-ebdb85f7fe84,Cunning_2013_Excessalgalsymbiontsincreasethesusc.pdf,pdf,,cunning2013excessalgalsymbiontsincreasethesuscpdf,0,0,0,0,0,0,0,0,0
bcc5b4a2-3f38-42ed-8309-63964483f263,Cunning_2018_Comparative_analysis_of_the_Pocillopora_damicornis_genome..._doi-10.1038-s41598-018-34459-8.pdf,pdf,,cunning2018comparativeanalysisofthepocilloporadamicornisgenomedoi101038s41598018344598pdf,1,0,1,0,0,0,0,1,8
2f44d6fc-1aa4-4747-a000-1c5be042d723,D_Angelo_2012_Locally_accelerated_growth_is_part_of_the_innate_immune_resp..._doi-10.1007-s00338-012-0926-8.pdf,pdf,,dangelo2012locallyacceleratedgrowthispartoftheinnateimmunerespdoi101007s0033801209268pdf,1,0,1,0,0,1,0,1,8
83a15da3-d64e-494a-94ee-a253c2392c96,Da_Silveira_1977_Regeneration_in_the_Gorgonian_Plexura_Flexuosa_Cnida..._doi-10.1163-26660644-04701002.pdf,pdf,,dasilveira1977regenerationinthegorgonianplexuraflexuosacnidadoi1011632666064404701002pdf,1,0,1,0,0,0,0,1,8
acd19f9e-8ad4-43ff-8a04-32d8f29c245d,Dagenais-Bellefeuille_2013_PuttingtheNindinoflagellates.pdf,pdf,,dagenaisbellefeuille2013puttingthenindinoflagellatespdf,0,0,0,0,0,0,0,0,0
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,DeFilippo_2016_Patterns_of_surface_lesion_recovery_in_the_Northern_Star_..._doi-10.1016-j.jembe.2016.03.016.pdf,pdf,,defilippo2016patternsofsurfacelesionrecoveryinthenorthernstardoi101016jjembe201603016pdf,1,1,1,1,1,1,1,1,32
fa37f4ff-5d21-4eb1-a912-2262ea10ae22,DeFilippo_2016_Patternsofsurfacelesionrecoveryint.pdf,pdf,,defilippo2016patternsofsurfacelesionrecoveryintpdf,0,0,0,0,0,0,0,0,0
09f69156-3ca0-4bf2-98e2-fe2b25612587,Denis_2011_Lesion_regeneration_capacities_in_populations_of_the_massive..._doi-10.3354-meps09060.pdf,pdf,,denis2011lesionregenerationcapacitiesinpopulationsofthemassivedoi103354meps09060pdf,1,1,1,1,1,1,0,1,27
4d1dfa9c-9c0b-438d-bf33-ec928b7d6696,Denis_2013_Fast_Growth_May_Impair_Regeneration_Capacity_in_th..._doi-10.1371-journal.pone.0072618.pdf,pdf,,denis2013fastgrowthmayimpairregenerationcapacityinthdoi101371journalpone0072618pdf,1,1,1,1,1,1,0,1,27
3d374a40-79d3-413b-99c2-670f9da97bef,Dias_2018_Mortality_growth_and_regeneration_following_fragmentation_o..._doi-10.1016-j.seares.2018.08.008.pdf,pdf,,dias2018mortalitygrowthandregenerationfollowingfragmentationodoi101016jseares201808008pdf,1,1,1,1,1,1,1,1,32
ae291ca0-5066-42c8-b9c6-d84b72d96701,Dias_2018_Mortalitygrowthandregenerationfollo.pdf,pdf,,dias2018mortalitygrowthandregenerationfollopdf,0,0,0,0,0,0,0,0,0
a1481487-85d7-43d6-9260-5bdb0970ebdd,Diaz-Pulido_2009_Doom_and_Boom_on_a_Resilient_Reef_Climate_Change_..._doi-10.1371-journal.pone.0005239.pdf,pdf,,diazpulido2009doomandboomonaresilientreefclimatechangedoi101371journalpone0005239pdf,1,0,1,0,0,0,0,1,6
248d5d32-94b5-4fc3-8c90-0fbedb162e6a,Dixon_2015_coral_heat_tolerance.pdf,pdf,,dixon2015coralheattolerancepdf,0,0,0,0,0,0,0,0,0
66433d12-2f65-4853-a92d-6f288a259337,Donohue_2001_DerelictfishinggearintheNorthwester.pdf,pdf,,donohue2001derelictfishinggearinthenorthwesterpdf,0,0,0,0,0,0,0,0,0
f4f46928-cec3-4f11-88a1-92c420e0735b,Downs_2005_Shiftingtheparadigmofcoralreefhea.pdf,pdf,,downs2005shiftingtheparadigmofcoralreefheapdf,0,0,0,0,0,0,0,0,0
526cf185-fc92-483d-81a0-416a05bc8fe8,Drury_2017_Genotypeandlocalenvironmentdynamical.pdf,pdf,,drury2017genotypeandlocalenvironmentdynamicalpdf,0,0,0,0,0,0,0,0,0
c849a042-644e-4b4f-a530-33cfb800d9a9,E_1996_Regeneration_versus_budding_in_fungiid_corals_a_trade-off_doi-10.3354-meps134179.pdf,pdf,,e1996regenerationversusbuddinginfungiidcoralsatradeoffdoi103354meps134179pdf,1,1,1,1,1,1,1,1,32
e4086389-113b-4831-a7e2-eecf868d279c,Eddy_2021_Globaldeclineincapacityofcoralreef.pdf,pdf,,eddy2021globaldeclineincapacityofcoralreefpdf,0,0,0,0,0,0,0,0,0
b0949a7c-520e-4a37-af04-25979598ec2d,Edmunds_2010_Effect_of_sub-lethal_damage_to_juvenile_colonies_of_massive..._doi-10.1007-s00227-009-1372-1.pdf,pdf,,edmunds2010effectofsublethaldamagetojuvenilecoloniesofmassivedoi101007s0022700913721pdf,1,1,1,1,1,1,0,1,27
2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds_2017_The_effects_of_ocean_acidification_on_wound_repair_in_the_co..._doi-10.1016-j.jembe.2016.10.001.pdf,pdf,,edmunds2017theeffectsofoceanacidificationonwoundrepairinthecodoi101016jjembe201610001pdf,1,1,1,1,1,1,0,1,29
f7335f31-f560-4d42-9f0d-52fdbec8ece6,Eh_1992_Effects_of_Sedimentation_and_Lesion_Position_on_Coral....pdf,pdf,,eh1992effectsofsedimentationandlesionpositiononcoralpdf,1,1,1,1,1,1,1,1,33
348d7203-b68d-472c-89da-e3e6704b2f50,Eh_1995_Age-related_deterioration_of_a_physiological_function_in_the..._doi-10.3354-meps121203.pdf,pdf,,eh1995agerelateddeteriorationofaphysiologicalfunctioninthedoi103354meps121203pdf,1,1,1,1,1,1,0,1,28
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh_1997_Predicting_regeneration_of_physical_damage_on_a_reef-buildin..._doi-10.3354-meps146091.pdf,pdf,,eh1997predictingregenerationofphysicaldamageonareefbuildindoi103354meps146091pdf,1,1,1,1,1,1,0,1,30
06d58802-35d3-4e35-b374-827ac0e24521,Emerson_2017_PMC5451823.pdf,pdf,,emerson2017pmc5451823pdf,0,0,0,0,0,0,0,0,0
