source_id,paper_title,local_relpath,pdf_read_status,pdf_page_count,pdf_bytes,pdf_sha256,text_path,text_chars,text_sha256,title_token_overlap_page_start,read_error
1d9e4e6d-fe25-4609-b0ac-78fdb306c80b,Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,literature/META_ANALYSIS_POOL/Eh et al. - 1997 - Predicting regeneration of physical damage on a reef-building coral by regeneration capacity and les.pdf,read_cached,9,869038,17a366539176f1535aaa85551c2333737f856476ef16ba8c0aa645fb5c120abb,data/extraction/all_responses/pdf_text/1d9e4e6d-fe25-4609-b0ac-78fdb306c80b.txt,52713,42e573a2e5744cd7f39269872c5575eedb4f6fb929a3b6774a8319eb58bdd1ab,9/9,
2059b598-335f-4890-8512-6e1f86fed557,Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,literature/META_ANALYSIS_POOL/Sani et al. - 2024 - Ocean warming and acidification detrimentally affect coral tissue regeneration at a Mediterranean CO.pdf,read_cached,8,4624927,a41d5bdf41141e742ce3b4a32b963e6148e421a62a7597280ef9568edcfbca75,data/extraction/all_responses/pdf_text/2059b598-335f-4890-8512-6e1f86fed557.txt,68432,c4fb2f8d5626f2a4c78e699e8bfa6d64fa0b3e37e9b0552354c3af97b8b4fae0,11/11,
26babed0-9e6c-4621-9dca-9253eb39b9fb,Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,literature/META_ANALYSIS_POOL/Cameron and Edmunds - 2014 - Effects of simulated fish predation on small colonies of massive Porites spp. and Pocillopora meandr.pdf,read_cached,10,467007,c5a362c8f2fcf88c30e2fdeed0780355986ce6bbbf95062fd80e2d209cb29c4b,data/extraction/all_responses/pdf_text/26babed0-9e6c-4621-9dca-9253eb39b9fb.txt,54988,74acc22913893c01cc7c136bd0d5ebbc27cced977dfcd123a09bf33f0574127d,11/13,
26d408bb-bf97-4b1a-8b59-a62f74d3d475,Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,literature/META_ANALYSIS_POOL/Van Woesik - 1998 - Lesion healing on massive Porites spp. corals.pdf,read_cached,8,1126136,65f2de1b205a15af02c40ed8660a23e2e66e433f4ba4808fb6ea81077fdef143,data/extraction/all_responses/pdf_text/26d408bb-bf97-4b1a-8b59-a62f74d3d475.txt,37657,28875897220487c2d3239c7c424d998c304e188e3f8c04b355df43351b0a51ef,7/7,
28b1e816-45f3-42fc-a2b0-0cfea52a0adc,"DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf","literature/META_ANALYSIS_POOL/DeFilippo et al. - 2016 - Patterns of surface lesion recovery in the Northern Star Coral, Astrangia poculata.pdf",read_cached,10,1470869,5fb549b25f37c40bca06719444aed4bddb2964544249e792145fb2d74e606e4d,data/extraction/all_responses/pdf_text/28b1e816-45f3-42fc-a2b0-0cfea52a0adc.txt,85639,2e8549d2a97ed88267c562b1fd1d2aa23fb5f0dcca659591405d6018c1926e2f,11/11,
292bbd72-e4b1-422c-8fbb-5b3201d2cd0c,Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,literature/META_ANALYSIS_POOL/Titlyanov and Titlyanova - 2009 - The dynamics of the restoration of mechanical damage to colonies of the scleractinian coral Porites.pdf,read_cached,6,324579,7a83a1ba16b91fedcbab4b423745291cc89b51621e76ff83c757579e3358f8e1,data/extraction/all_responses/pdf_text/292bbd72-e4b1-422c-8fbb-5b3201d2cd0c.txt,34813,190b214fd3729b6b4d1367217d0c934ef86eaa738ab68341208a08e72de801b7,11/11,
2b8676ad-34ad-450c-8649-095d5be68458,Hall_Injury_and_regeneration_of_common_reef-crest_corals.pdf,literature/META_ANALYSIS_POOL/INJURY AND REGENERATION OF COMMON REEF-CREST CORALS.pdf,read_cached,136,2028936,1cc24104a68e64c296bee5ac19098ce87b4ec3220194033a085af6665b24e654,data/extraction/all_responses/pdf_text/2b8676ad-34ad-450c-8649-095d5be68458.txt,284330,e6f4ee22b3be609d6d2b438d4466f1a65016b6674d20cf6b2adbc0115ff84b9f,7/7,
2e3b055f-28df-4def-97aa-660ac537a95f,Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,literature/META_ANALYSIS_POOL/Edmunds and Yarid - 2017 - The effects of ocean acidification on wound repair in the coral Porites spp..pdf,read_cached,7,415095,65203e06a0e5aeb63d41c58b21ccfbdf07f8e7ce4d4617c196f0affeed4b62ef,data/extraction/all_responses/pdf_text/2e3b055f-28df-4def-97aa-660ac537a95f.txt,67724,06372914131896c48db5a4411ecad7526f95b38c622f038001a6e74c6941356d,9/10,
2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c,Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,literature/META_ANALYSIS_POOL/Van Veghel and Bak - 1994 - Reproductive characteristics of the polymorphic Caribbean reef building coral Montastrea annularis..pdf,read_cached,6,1904754,d82fd98f1fbe1f38bb88c7c61e2e56414ef2e6688b39c850443acc90f379dce2,data/extraction/all_responses/pdf_text/2e76dce4-6cb4-46c0-b8c4-a1cc91b1578c.txt,28177,ef9edd485a2d3130da0bdaea58414f3a8c9fe4d45fc40da7960abd2264e2ec09,11/11,
32a1561c-9cd6-4e97-9287-c9e5eafafc22,Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,literature/META_ANALYSIS_POOL/Welsh et al. - 2015 - Clustered parrotfish feeding scars trigger partial coral mortality of massive Porites colonies on th.pdf,read_cached,6,685196,f0c1015ef80bf06ff03179e6e211d05400982834ad0690db3aed25b8da1d8c4c,data/extraction/all_responses/pdf_text/32a1561c-9cd6-4e97-9287-c9e5eafafc22.txt,41416,e7034de47ca5932a135e61bdeaad90a32efb2b0bbd35d5ca418ebdca15e2687e,13/13,
