source_id,response_type,paper_title,local_relpath,priority_rank,extraction_readiness,existing_extraction_rows,analysis_ready_rows,blocking_extraction_rows,crop_proposals,crop_proposals_need_human_qa,concrete_digitized_data_files,pdf_text_candidate_rows,notebooklm_batch_id,notebooklm_validation_status,response_gate_status,next_action,blocking_summary
65ccf3b6-92c0-416b-93ba-1cfd827b1ba1,rate,Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,literature/META_ANALYSIS_POOL/Horricks et al. - 2019 - Differential protein abundance during the first month of regeneration of the Caribbean star coral Mo.pdf,1,ready_extract,1,0,1,0,0,0,60,rate_02,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | source_provenance_missing=1 | time_or_duration_missing=1
cf0dfa52-c9e6-4d7f-9ae1-5970162a807f,rate,Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,literature/META_ANALYSIS_POOL/Lester and Bak - 1985 - Effects of environment on regeneration rate of tissue lesions in the reef coral Montastrea annularis.pdf,1,ready_extract,3,0,3,0,0,0,15,rate_02,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=3 | figure_digitized_data_missing=3 | figure_final_clip_missing=3 | qa_status_not_ready=3 | variance_missing=3
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,growth,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",1,ready_extract,0,0,0,0,0,0,30,growth_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,reproduction,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",1,ready_extract,1,0,1,0,0,0,30,reproduction_01,validated_existing_json,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | source_provenance_missing=1
e1fe67b6-7beb-43ff-bb09-b0b2262e6d05,survival,"Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Fragmentation in the branching coral Acropora palmata (Lamarck) growth, survivorship, and reproduct.pdf",1,ready_extract,1,0,1,0,0,0,30,survival_01,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | sample_size_missing=1 | source_provenance_missing=1
3764e810-0eb0-4d34-baca-2c5136c95bc8,rate,"Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf","literature/META_ANALYSIS_POOL/Lirman - 2000 - Lesion regeneration in the branching coral Acropora palmata effects of colonization, colony size, l.pdf",1,ready_extract,3,0,3,0,0,0,30,rate_02,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=3 | figure_digitized_data_missing=3 | figure_final_clip_missing=3 | qa_status_not_ready=3
6b96575e-9bf7-46f2-a12e-73b565f46629,rate,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,literature/META_ANALYSIS_POOL/Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,1,ready_extract,9,0,9,0,0,0,48,rate_02,completed,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",figure_crop_missing=4 | figure_digitized_data_missing=4 | figure_final_clip_missing=4 | qa_status_not_ready=9 | sample_size_missing=3 | variance_missing=4
6b96575e-9bf7-46f2-a12e-73b565f46629,survival,Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,literature/META_ANALYSIS_POOL/Meesters and Bak - 1993 - Effects of coral bleaching on tissue regeneration potential and colony survival.pdf,1,ready_extract,0,0,0,0,0,0,48,survival_01,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
fe532d7a-f878-4a85-962a-7de43d06a80c,rate,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,1,ready_extract,0,0,0,0,0,0,38,rate_02,completed,extract_from_pdf_text_or_table_candidates,Use PDF text candidates and NotebookLM validation to extract source-verified rows.,
fe532d7a-f878-4a85-962a-7de43d06a80c,reproduction,Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,literature/META_ANALYSIS_POOL/Rotjan and Lewis - 2009 - Predators selectively graze reproductive structures in a clonal marine organism.pdf,1,ready_extract,1,0,1,0,0,0,38,reproduction_01,validated_existing_json,extracted_values_need_provenance_or_qc,"Verify existing extracted rows against PDFs, record exact source evidence, and set qa_status only after independent QC.",page_missing=1 | qa_status_not_ready=1 | source_provenance_missing=1
